                                   Experiment        Metric  File     Value                         Model       CNN          RNN                     Phase
0               Evaluation-ResNet50_BiGRU-Inc  Accuracy-1st     1  0.953704            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
1               Evaluation-ResNet50_BiGRU-Inc  Accuracy-1st     2  0.900000            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
2               Evaluation-ResNet50_BiGRU-Inc  Accuracy-1st     3  0.910714            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
3               Evaluation-ResNet50_BiGRU-Inc  Accuracy-1st     4  0.960784            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
4               Evaluation-ResNet50_BiGRU-Inc  Accuracy-1st     5  0.955357            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
5               Evaluation-ResNet50_BiGRU-Inc  Accuracy-2nd     1  0.046296            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
6               Evaluation-ResNet50_BiGRU-Inc  Accuracy-2nd     2  0.100000            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
7               Evaluation-ResNet50_BiGRU-Inc  Accuracy-2nd     3  0.089286            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
8               Evaluation-ResNet50_BiGRU-Inc  Accuracy-2nd     4  0.039216            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
9               Evaluation-ResNet50_BiGRU-Inc  Accuracy-2nd     5  0.044643            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
10              Evaluation-ResNet50_BiGRU-Inc      Accuracy     1  0.953704            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
11              Evaluation-ResNet50_BiGRU-Inc      Accuracy     2  0.900000            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
12              Evaluation-ResNet50_BiGRU-Inc      Accuracy     3  0.910714            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
13              Evaluation-ResNet50_BiGRU-Inc      Accuracy     4  0.960784            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
14              Evaluation-ResNet50_BiGRU-Inc      Accuracy     5  0.955357            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
15             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-1st     1  0.944444           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
16             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-1st     2  0.890909           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
17             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-1st     3  0.928571           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
18             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-1st     4  0.901961           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
19             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-1st     5  0.937500           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
20             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-2nd     1  0.055556           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
21             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-2nd     2  0.109091           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
22             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-2nd     3  0.071429           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
23             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-2nd     4  0.098039           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
24             Evaluation-ResNet50_BiLSTM-Inc  Accuracy-2nd     5  0.062500           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
25             Evaluation-ResNet50_BiLSTM-Inc      Accuracy     1  0.944444           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
26             Evaluation-ResNet50_BiLSTM-Inc      Accuracy     2  0.890909           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
27             Evaluation-ResNet50_BiLSTM-Inc      Accuracy     3  0.928571           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
28             Evaluation-ResNet50_BiLSTM-Inc      Accuracy     4  0.901961           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
29             Evaluation-ResNet50_BiLSTM-Inc      Accuracy     5  0.937500           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
30                Evaluation-ResNet50_GRU-Inc  Accuracy-1st     1  0.972222              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
31                Evaluation-ResNet50_GRU-Inc  Accuracy-1st     2  0.900000              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
32                Evaluation-ResNet50_GRU-Inc  Accuracy-1st     3  0.910714              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
33                Evaluation-ResNet50_GRU-Inc  Accuracy-1st     4  0.921569              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
34                Evaluation-ResNet50_GRU-Inc  Accuracy-1st     5  0.964286              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
35                Evaluation-ResNet50_GRU-Inc  Accuracy-2nd     1  0.027778              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
36                Evaluation-ResNet50_GRU-Inc  Accuracy-2nd     2  0.100000              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
37                Evaluation-ResNet50_GRU-Inc  Accuracy-2nd     3  0.089286              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
38                Evaluation-ResNet50_GRU-Inc  Accuracy-2nd     4  0.078431              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
39                Evaluation-ResNet50_GRU-Inc  Accuracy-2nd     5  0.035714              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
40                Evaluation-ResNet50_GRU-Inc      Accuracy     1  0.972222              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
41                Evaluation-ResNet50_GRU-Inc      Accuracy     2  0.900000              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
42                Evaluation-ResNet50_GRU-Inc      Accuracy     3  0.910714              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
43                Evaluation-ResNet50_GRU-Inc      Accuracy     4  0.921569              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
44                Evaluation-ResNet50_GRU-Inc      Accuracy     5  0.964286              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
45               Evaluation-ResNet50_LSTM-Inc  Accuracy-1st     1  0.953704             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
46               Evaluation-ResNet50_LSTM-Inc  Accuracy-1st     2  0.918182             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
47               Evaluation-ResNet50_LSTM-Inc  Accuracy-1st     3  0.901786             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
48               Evaluation-ResNet50_LSTM-Inc  Accuracy-1st     4  0.931373             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
49               Evaluation-ResNet50_LSTM-Inc  Accuracy-1st     5  0.964286             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
50               Evaluation-ResNet50_LSTM-Inc  Accuracy-2nd     1  0.046296             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
51               Evaluation-ResNet50_LSTM-Inc  Accuracy-2nd     2  0.081818             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
52               Evaluation-ResNet50_LSTM-Inc  Accuracy-2nd     3  0.098214             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
53               Evaluation-ResNet50_LSTM-Inc  Accuracy-2nd     4  0.068627             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
54               Evaluation-ResNet50_LSTM-Inc  Accuracy-2nd     5  0.035714             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
55               Evaluation-ResNet50_LSTM-Inc      Accuracy     1  0.953704             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
56               Evaluation-ResNet50_LSTM-Inc      Accuracy     2  0.918182             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
57               Evaluation-ResNet50_LSTM-Inc      Accuracy     3  0.901786             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
58               Evaluation-ResNet50_LSTM-Inc      Accuracy     4  0.931373             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
59               Evaluation-ResNet50_LSTM-Inc      Accuracy     5  0.964286             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
60         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-1st     1  0.944444       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
61         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-1st     2  0.909091       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
62         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-1st     3  0.901786       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
63         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-1st     4  0.960784       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
64         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-1st     5  0.955357       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
65         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-2nd     1  0.055556       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
66         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-2nd     2  0.090909       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
67         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-2nd     3  0.098214       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
68         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-2nd     4  0.039216       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
