                                  Experiment    Metric  File     Value                         Model       CNN          RNN                     Phase
0              Evaluation-ResNet50_BiGRU-Inc  F1-Score     1  0.953668            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
1              Evaluation-ResNet50_BiGRU-Inc  F1-Score     2  0.899326            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
2              Evaluation-ResNet50_BiGRU-Inc  F1-Score     3  0.910714            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
3              Evaluation-ResNet50_BiGRU-Inc  F1-Score     4  0.960769            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
4              Evaluation-ResNet50_BiGRU-Inc  F1-Score     5  0.955325            ResNet50-BiGRU-Inc  ResNet50        BiGRU                  Incision
5             Evaluation-ResNet50_BiLSTM-Inc  F1-Score     1  0.944368           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
6             Evaluation-ResNet50_BiLSTM-Inc  F1-Score     2  0.890584           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
7             Evaluation-ResNet50_BiLSTM-Inc  F1-Score     3  0.928549           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
8             Evaluation-ResNet50_BiLSTM-Inc  F1-Score     4  0.901923           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
9             Evaluation-ResNet50_BiLSTM-Inc  F1-Score     5  0.937455           ResNet50-BiLSTM-Inc  ResNet50       BiLSTM                  Incision
10               Evaluation-ResNet50_GRU-Inc  F1-Score     1  0.972201              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
11               Evaluation-ResNet50_GRU-Inc  F1-Score     2  0.898990              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
12               Evaluation-ResNet50_GRU-Inc  F1-Score     3  0.910686              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
13               Evaluation-ResNet50_GRU-Inc  F1-Score     4  0.921569              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
14               Evaluation-ResNet50_GRU-Inc  F1-Score     5  0.964274              ResNet50-GRU-Inc  ResNet50          GRU                  Incision
15              Evaluation-ResNet50_LSTM-Inc  F1-Score     1  0.953668             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
16              Evaluation-ResNet50_LSTM-Inc  F1-Score     2  0.917630             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
17              Evaluation-ResNet50_LSTM-Inc  F1-Score     3  0.901778             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
18              Evaluation-ResNet50_LSTM-Inc  F1-Score     4  0.931313             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
19              Evaluation-ResNet50_LSTM-Inc  F1-Score     5  0.964274             ResNet50-LSTM-Inc  ResNet50         LSTM                  Incision
20        Evaluation-ResNet50_Mamba-best-Inc  F1-Score     1  0.944272       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
21        Evaluation-ResNet50_Mamba-best-Inc  F1-Score     2  0.908608       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
22        Evaluation-ResNet50_Mamba-best-Inc  F1-Score     3  0.901778       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
23        Evaluation-ResNet50_Mamba-best-Inc  F1-Score     4  0.960784       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
24        Evaluation-ResNet50_Mamba-best-Inc  F1-Score     5  0.955354       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
25       Evaluation-ResNet50_Transformer-Inc  F1-Score     1  0.953668      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
26       Evaluation-ResNet50_Transformer-Inc  F1-Score     2  0.881338      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
27       Evaluation-ResNet50_Transformer-Inc  F1-Score     3  0.919636      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
28       Evaluation-ResNet50_Transformer-Inc  F1-Score     4  0.901923      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
29       Evaluation-ResNet50_Transformer-Inc  F1-Score     5  0.955325      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
30                Evaluation-VGG16_BiGRU-Inc  F1-Score     1  0.934912               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
31                Evaluation-VGG16_BiGRU-Inc  F1-Score     2  0.927273               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
32                Evaluation-VGG16_BiGRU-Inc  F1-Score     3  0.892549               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
33                Evaluation-VGG16_BiGRU-Inc  F1-Score     4  0.950976               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
34                Evaluation-VGG16_BiGRU-Inc  F1-Score     5  0.946411               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
35               Evaluation-VGG16_BiLSTM-Inc  F1-Score     1  0.953604              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
36               Evaluation-VGG16_BiLSTM-Inc  F1-Score     2  0.899593              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
