                                 Experiment        Metric  File     Value                       Model             CNN          RNN
0              Evaluation-DenseNet121_BiGRU  Accuracy-1st     1  0.784341           DenseNet121-BiGRU     DenseNet121        BiGRU
1              Evaluation-DenseNet121_BiGRU  Accuracy-1st     2  0.727141           DenseNet121-BiGRU     DenseNet121        BiGRU
2              Evaluation-DenseNet121_BiGRU  Accuracy-1st     3  0.767722           DenseNet121-BiGRU     DenseNet121        BiGRU
3              Evaluation-DenseNet121_BiGRU  Accuracy-1st     4  0.779021           DenseNet121-BiGRU     DenseNet121        BiGRU
4              Evaluation-DenseNet121_BiGRU  Accuracy-1st     5  0.730769           DenseNet121-BiGRU     DenseNet121        BiGRU
5              Evaluation-DenseNet121_BiGRU  Accuracy-2nd     1  0.130495           DenseNet121-BiGRU     DenseNet121        BiGRU
6              Evaluation-DenseNet121_BiGRU  Accuracy-2nd     2  0.156749           DenseNet121-BiGRU     DenseNet121        BiGRU
7              Evaluation-DenseNet121_BiGRU  Accuracy-2nd     3  0.134238           DenseNet121-BiGRU     DenseNet121        BiGRU
8              Evaluation-DenseNet121_BiGRU  Accuracy-2nd     4  0.128671           DenseNet121-BiGRU     DenseNet121        BiGRU
9              Evaluation-DenseNet121_BiGRU  Accuracy-2nd     5  0.145604           DenseNet121-BiGRU     DenseNet121        BiGRU
10             Evaluation-DenseNet121_BiGRU  Accuracy-3rd     1  0.038462           DenseNet121-BiGRU     DenseNet121        BiGRU
11             Evaluation-DenseNet121_BiGRU  Accuracy-3rd     2  0.066763           DenseNet121-BiGRU     DenseNet121        BiGRU
12             Evaluation-DenseNet121_BiGRU  Accuracy-3rd     3  0.046757           DenseNet121-BiGRU     DenseNet121        BiGRU
13             Evaluation-DenseNet121_BiGRU  Accuracy-3rd     4  0.050350           DenseNet121-BiGRU     DenseNet121        BiGRU
14             Evaluation-DenseNet121_BiGRU  Accuracy-3rd     5  0.061813           DenseNet121-BiGRU     DenseNet121        BiGRU
15             Evaluation-DenseNet121_BiGRU  Accuracy-4th     1  0.023352           DenseNet121-BiGRU     DenseNet121        BiGRU
16             Evaluation-DenseNet121_BiGRU  Accuracy-4th     2  0.023222           DenseNet121-BiGRU     DenseNet121        BiGRU
17             Evaluation-DenseNet121_BiGRU  Accuracy-4th     3  0.030166           DenseNet121-BiGRU     DenseNet121        BiGRU
18             Evaluation-DenseNet121_BiGRU  Accuracy-4th     4  0.016783           DenseNet121-BiGRU     DenseNet121        BiGRU
19             Evaluation-DenseNet121_BiGRU  Accuracy-4th     5  0.024725           DenseNet121-BiGRU     DenseNet121        BiGRU
20             Evaluation-DenseNet121_BiGRU  Accuracy-5th     1  0.013736           DenseNet121-BiGRU     DenseNet121        BiGRU
21             Evaluation-DenseNet121_BiGRU  Accuracy-5th     2  0.011611           DenseNet121-BiGRU     DenseNet121        BiGRU
22             Evaluation-DenseNet121_BiGRU  Accuracy-5th     3  0.006033           DenseNet121-BiGRU     DenseNet121        BiGRU
23             Evaluation-DenseNet121_BiGRU  Accuracy-5th     4  0.012587           DenseNet121-BiGRU     DenseNet121        BiGRU
24             Evaluation-DenseNet121_BiGRU  Accuracy-5th     5  0.015110           DenseNet121-BiGRU     DenseNet121        BiGRU
25             Evaluation-DenseNet121_BiGRU      Accuracy     1  0.784341           DenseNet121-BiGRU     DenseNet121        BiGRU
26             Evaluation-DenseNet121_BiGRU      Accuracy     2  0.727141           DenseNet121-BiGRU     DenseNet121        BiGRU
27             Evaluation-DenseNet121_BiGRU      Accuracy     3  0.767722           DenseNet121-BiGRU     DenseNet121        BiGRU
28             Evaluation-DenseNet121_BiGRU      Accuracy     4  0.779021           DenseNet121-BiGRU     DenseNet121        BiGRU
29             Evaluation-DenseNet121_BiGRU      Accuracy     5  0.730769           DenseNet121-BiGRU     DenseNet121        BiGRU
30            Evaluation-DenseNet121_BiLSTM  Accuracy-1st     1  0.815934          DenseNet121-BiLSTM     DenseNet121       BiLSTM
31            Evaluation-DenseNet121_BiLSTM  Accuracy-1st     2  0.766328          DenseNet121-BiLSTM     DenseNet121       BiLSTM
32            Evaluation-DenseNet121_BiLSTM  Accuracy-1st     3  0.707391          DenseNet121-BiLSTM     DenseNet121       BiLSTM
33            Evaluation-DenseNet121_BiLSTM  Accuracy-1st     4  0.730070          DenseNet121-BiLSTM     DenseNet121       BiLSTM
34            Evaluation-DenseNet121_BiLSTM  Accuracy-1st     5  0.813187          DenseNet121-BiLSTM     DenseNet121       BiLSTM
35            Evaluation-DenseNet121_BiLSTM  Accuracy-2nd     1  0.111264          DenseNet121-BiLSTM     DenseNet121       BiLSTM
36            Evaluation-DenseNet121_BiLSTM  Accuracy-2nd     2  0.136430          DenseNet121-BiLSTM     DenseNet121       BiLSTM
