                                 Experiment        Metric  File     Value                       Model             CNN          RNN
0              Evaluation-DenseNet121_BiGRU  F1-Score-Idl     1  0.742857           DenseNet121-BiGRU     DenseNet121        BiGRU
1              Evaluation-DenseNet121_BiGRU  F1-Score-Idl     2  0.673077           DenseNet121-BiGRU     DenseNet121        BiGRU
2              Evaluation-DenseNet121_BiGRU  F1-Score-Idl     3  0.747475           DenseNet121-BiGRU     DenseNet121        BiGRU
3              Evaluation-DenseNet121_BiGRU  F1-Score-Idl     4  0.611111           DenseNet121-BiGRU     DenseNet121        BiGRU
4              Evaluation-DenseNet121_BiGRU  F1-Score-Idl     5  0.598131           DenseNet121-BiGRU     DenseNet121        BiGRU
5              Evaluation-DenseNet121_BiGRU  F1-Score-Inc     1  0.862069           DenseNet121-BiGRU     DenseNet121        BiGRU
6              Evaluation-DenseNet121_BiGRU  F1-Score-Inc     2  0.757282           DenseNet121-BiGRU     DenseNet121        BiGRU
7              Evaluation-DenseNet121_BiGRU  F1-Score-Inc     3  0.810345           DenseNet121-BiGRU     DenseNet121        BiGRU
8              Evaluation-DenseNet121_BiGRU  F1-Score-Inc     4  0.750000           DenseNet121-BiGRU     DenseNet121        BiGRU
9              Evaluation-DenseNet121_BiGRU  F1-Score-Inc     5  0.726027           DenseNet121-BiGRU     DenseNet121        BiGRU
10             Evaluation-DenseNet121_BiGRU  F1-Score-Vis     1  0.710280           DenseNet121-BiGRU     DenseNet121        BiGRU
11             Evaluation-DenseNet121_BiGRU  F1-Score-Vis     2  0.633663           DenseNet121-BiGRU     DenseNet121        BiGRU
12             Evaluation-DenseNet121_BiGRU  F1-Score-Vis     3  0.704762           DenseNet121-BiGRU     DenseNet121        BiGRU
13             Evaluation-DenseNet121_BiGRU  F1-Score-Vis     4  0.700000           DenseNet121-BiGRU     DenseNet121        BiGRU
14             Evaluation-DenseNet121_BiGRU  F1-Score-Vis     5  0.612613           DenseNet121-BiGRU     DenseNet121        BiGRU
15             Evaluation-DenseNet121_BiGRU  F1-Score-Cap     1  0.784314           DenseNet121-BiGRU     DenseNet121        BiGRU
16             Evaluation-DenseNet121_BiGRU  F1-Score-Cap     2  0.680412           DenseNet121-BiGRU     DenseNet121        BiGRU
17             Evaluation-DenseNet121_BiGRU  F1-Score-Cap     3  0.777778           DenseNet121-BiGRU     DenseNet121        BiGRU
18             Evaluation-DenseNet121_BiGRU  F1-Score-Cap     4  0.830508           DenseNet121-BiGRU     DenseNet121        BiGRU
19             Evaluation-DenseNet121_BiGRU  F1-Score-Cap     5  0.766355           DenseNet121-BiGRU     DenseNet121        BiGRU
20             Evaluation-DenseNet121_BiGRU  F1-Score-Hyd     1  0.854545           DenseNet121-BiGRU     DenseNet121        BiGRU
21             Evaluation-DenseNet121_BiGRU  F1-Score-Hyd     2  0.666667           DenseNet121-BiGRU     DenseNet121        BiGRU
22             Evaluation-DenseNet121_BiGRU  F1-Score-Hyd     3  0.854369           DenseNet121-BiGRU     DenseNet121        BiGRU
23             Evaluation-DenseNet121_BiGRU  F1-Score-Hyd     4  0.864407           DenseNet121-BiGRU     DenseNet121        BiGRU
24             Evaluation-DenseNet121_BiGRU  F1-Score-Hyd     5  0.641509           DenseNet121-BiGRU     DenseNet121        BiGRU
25             Evaluation-DenseNet121_BiGRU  F1-Score-Pha     1  0.917431           DenseNet121-BiGRU     DenseNet121        BiGRU
26             Evaluation-DenseNet121_BiGRU  F1-Score-Pha     2  0.903846           DenseNet121-BiGRU     DenseNet121        BiGRU
27             Evaluation-DenseNet121_BiGRU  F1-Score-Pha     3  0.851852           DenseNet121-BiGRU     DenseNet121        BiGRU
28             Evaluation-DenseNet121_BiGRU  F1-Score-Pha     4  0.884615           DenseNet121-BiGRU     DenseNet121        BiGRU
29             Evaluation-DenseNet121_BiGRU  F1-Score-Pha     5  0.824561           DenseNet121-BiGRU     DenseNet121        BiGRU
30             Evaluation-DenseNet121_BiGRU   F1-Score-IA     1  0.836066           DenseNet121-BiGRU     DenseNet121        BiGRU
31             Evaluation-DenseNet121_BiGRU   F1-Score-IA     2  0.807339           DenseNet121-BiGRU     DenseNet121        BiGRU
32             Evaluation-DenseNet121_BiGRU   F1-Score-IA     3  0.732673           DenseNet121-BiGRU     DenseNet121        BiGRU
33             Evaluation-DenseNet121_BiGRU   F1-Score-IA     4  0.800000           DenseNet121-BiGRU     DenseNet121        BiGRU
34             Evaluation-DenseNet121_BiGRU   F1-Score-IA     5  0.666667           DenseNet121-BiGRU     DenseNet121        BiGRU
35             Evaluation-DenseNet121_BiGRU   F1-Score-CP     1  0.786325           DenseNet121-BiGRU     DenseNet121        BiGRU
36             Evaluation-DenseNet121_BiGRU   F1-Score-CP     2  0.702703           DenseNet121-BiGRU     DenseNet121        BiGRU
37             Evaluation-DenseNet121_BiGRU   F1-Score-CP     3  0.759259           DenseNet121-BiGRU     DenseNet121        BiGRU
38             Evaluation-DenseNet121_BiGRU   F1-Score-CP     4  0.767857           DenseNet121-BiGRU     DenseNet121        BiGRU
39             Evaluation-DenseNet121_BiGRU   F1-Score-CP     5  0.739496           DenseNet121-BiGRU     DenseNet121        BiGRU
40             Evaluation-DenseNet121_BiGRU   F1-Score-LI     1  0.825688           DenseNet121-BiGRU     DenseNet121        BiGRU
41             Evaluation-DenseNet121_BiGRU   F1-Score-LI     2  0.833333           DenseNet121-BiGRU     DenseNet121        BiGRU
42             Evaluation-DenseNet121_BiGRU   F1-Score-LI     3  0.877551           DenseNet121-BiGRU     DenseNet121        BiGRU
43             Evaluation-DenseNet121_BiGRU   F1-Score-LI     4  0.808081           DenseNet121-BiGRU     DenseNet121        BiGRU
44             Evaluation-DenseNet121_BiGRU   F1-Score-LI     5  0.830189           DenseNet121-BiGRU     DenseNet121        BiGRU
45             Evaluation-DenseNet121_BiGRU   F1-Score-LP     1  0.683761           DenseNet121-BiGRU     DenseNet121        BiGRU
46             Evaluation-DenseNet121_BiGRU   F1-Score-LP     2  0.724138           DenseNet121-BiGRU     DenseNet121        BiGRU
47             Evaluation-DenseNet121_BiGRU   F1-Score-LP     3  0.666667           DenseNet121-BiGRU     DenseNet121        BiGRU
48             Evaluation-DenseNet121_BiGRU   F1-Score-LP     4  0.745763           DenseNet121-BiGRU     DenseNet121        BiGRU
49             Evaluation-DenseNet121_BiGRU   F1-Score-LP     5  0.770642           DenseNet121-BiGRU     DenseNet121        BiGRU
50             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     1  0.640000           DenseNet121-BiGRU     DenseNet121        BiGRU
51             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     2  0.557692           DenseNet121-BiGRU     DenseNet121        BiGRU
52             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     3  0.629630           DenseNet121-BiGRU     DenseNet121        BiGRU
53             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     4  0.772277           DenseNet121-BiGRU     DenseNet121        BiGRU
54             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     5  0.666667           DenseNet121-BiGRU     DenseNet121        BiGRU
55             Evaluation-DenseNet121_BiGRU   F1-Score-VS     1  0.846154           DenseNet121-BiGRU     DenseNet121        BiGRU
56             Evaluation-DenseNet121_BiGRU   F1-Score-VS     2  0.772277           DenseNet121-BiGRU     DenseNet121        BiGRU
57             Evaluation-DenseNet121_BiGRU   F1-Score-VS     3  0.857143           DenseNet121-BiGRU     DenseNet121        BiGRU
58             Evaluation-DenseNet121_BiGRU   F1-Score-VS     4  0.800000           DenseNet121-BiGRU     DenseNet121        BiGRU
59             Evaluation-DenseNet121_BiGRU   F1-Score-VS     5  0.833333           DenseNet121-BiGRU     DenseNet121        BiGRU
60             Evaluation-DenseNet121_BiGRU   F1-Score-TA     1  0.725664           DenseNet121-BiGRU     DenseNet121        BiGRU
61             Evaluation-DenseNet121_BiGRU   F1-Score-TA     2  0.745763           DenseNet121-BiGRU     DenseNet121        BiGRU
62             Evaluation-DenseNet121_BiGRU   F1-Score-TA     3  0.709677           DenseNet121-BiGRU     DenseNet121        BiGRU
63             Evaluation-DenseNet121_BiGRU   F1-Score-TA     4  0.786325           DenseNet121-BiGRU     DenseNet121        BiGRU
64             Evaluation-DenseNet121_BiGRU   F1-Score-TA     5  0.814159           DenseNet121-BiGRU     DenseNet121        BiGRU
65             Evaluation-DenseNet121_BiGRU      F1-Score     1  0.785781           DenseNet121-BiGRU     DenseNet121        BiGRU
66             Evaluation-DenseNet121_BiGRU      F1-Score     2  0.727553           DenseNet121-BiGRU     DenseNet121        BiGRU
67             Evaluation-DenseNet121_BiGRU      F1-Score     3  0.767629           DenseNet121-BiGRU     DenseNet121        BiGRU
68             Evaluation-DenseNet121_BiGRU      F1-Score     4  0.778534           DenseNet121-BiGRU     DenseNet121        BiGRU
69             Evaluation-DenseNet121_BiGRU      F1-Score     5  0.730027           DenseNet121-BiGRU     DenseNet121        BiGRU
70            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     1  0.724138          DenseNet121-BiLSTM     DenseNet121       BiLSTM
71            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     2  0.712871          DenseNet121-BiLSTM     DenseNet121       BiLSTM
72            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     3  0.607843          DenseNet121-BiLSTM     DenseNet121       BiLSTM
73            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     4  0.593407          DenseNet121-BiLSTM     DenseNet121       BiLSTM
74            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     5  0.672897          DenseNet121-BiLSTM     DenseNet121       BiLSTM
75            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     1  0.872727          DenseNet121-BiLSTM     DenseNet121       BiLSTM
76            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     2  0.786325          DenseNet121-BiLSTM     DenseNet121       BiLSTM
77            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     3  0.771930          DenseNet121-BiLSTM     DenseNet121       BiLSTM
