                           Experiment        Metric  File     Value                  Model        CNN          RNN
0          Evaluation-ResNet152_BiGRU  F1-Score-Idl     1  0.568807        ResNet152-BiGRU  ResNet152        BiGRU
1          Evaluation-ResNet152_BiGRU  F1-Score-Idl     2  0.739130        ResNet152-BiGRU  ResNet152        BiGRU
2          Evaluation-ResNet152_BiGRU  F1-Score-Idl     3  0.574713        ResNet152-BiGRU  ResNet152        BiGRU
3          Evaluation-ResNet152_BiGRU  F1-Score-Idl     4  0.666667        ResNet152-BiGRU  ResNet152        BiGRU
4          Evaluation-ResNet152_BiGRU  F1-Score-Idl     5  0.652632        ResNet152-BiGRU  ResNet152        BiGRU
5          Evaluation-ResNet152_BiGRU  F1-Score-Inc     1  0.752137        ResNet152-BiGRU  ResNet152        BiGRU
6          Evaluation-ResNet152_BiGRU  F1-Score-Inc     2  0.781955        ResNet152-BiGRU  ResNet152        BiGRU
7          Evaluation-ResNet152_BiGRU  F1-Score-Inc     3  0.893204        ResNet152-BiGRU  ResNet152        BiGRU
8          Evaluation-ResNet152_BiGRU  F1-Score-Inc     4  0.777778        ResNet152-BiGRU  ResNet152        BiGRU
9          Evaluation-ResNet152_BiGRU  F1-Score-Inc     5  0.746479        ResNet152-BiGRU  ResNet152        BiGRU
10         Evaluation-ResNet152_BiGRU  F1-Score-Vis     1  0.796460        ResNet152-BiGRU  ResNet152        BiGRU
11         Evaluation-ResNet152_BiGRU  F1-Score-Vis     2  0.758621        ResNet152-BiGRU  ResNet152        BiGRU
12         Evaluation-ResNet152_BiGRU  F1-Score-Vis     3  0.742857        ResNet152-BiGRU  ResNet152        BiGRU
13         Evaluation-ResNet152_BiGRU  F1-Score-Vis     4  0.723404        ResNet152-BiGRU  ResNet152        BiGRU
14         Evaluation-ResNet152_BiGRU  F1-Score-Vis     5  0.734694        ResNet152-BiGRU  ResNet152        BiGRU
15         Evaluation-ResNet152_BiGRU  F1-Score-Cap     1  0.743802        ResNet152-BiGRU  ResNet152        BiGRU
16         Evaluation-ResNet152_BiGRU  F1-Score-Cap     2  0.764045        ResNet152-BiGRU  ResNet152        BiGRU
17         Evaluation-ResNet152_BiGRU  F1-Score-Cap     3  0.795455        ResNet152-BiGRU  ResNet152        BiGRU
18         Evaluation-ResNet152_BiGRU  F1-Score-Cap     4  0.857143        ResNet152-BiGRU  ResNet152        BiGRU
19         Evaluation-ResNet152_BiGRU  F1-Score-Cap     5  0.789474        ResNet152-BiGRU  ResNet152        BiGRU
20         Evaluation-ResNet152_BiGRU  F1-Score-Hyd     1  0.725275        ResNet152-BiGRU  ResNet152        BiGRU
21         Evaluation-ResNet152_BiGRU  F1-Score-Hyd     2  0.849057        ResNet152-BiGRU  ResNet152        BiGRU
22         Evaluation-ResNet152_BiGRU  F1-Score-Hyd     3  0.817391        ResNet152-BiGRU  ResNet152        BiGRU
23         Evaluation-ResNet152_BiGRU  F1-Score-Hyd     4  0.895238        ResNet152-BiGRU  ResNet152        BiGRU
24         Evaluation-ResNet152_BiGRU  F1-Score-Hyd     5  0.803738        ResNet152-BiGRU  ResNet152        BiGRU
25         Evaluation-ResNet152_BiGRU  F1-Score-Pha     1  0.925926        ResNet152-BiGRU  ResNet152        BiGRU
26         Evaluation-ResNet152_BiGRU  F1-Score-Pha     2  0.924528        ResNet152-BiGRU  ResNet152        BiGRU
27         Evaluation-ResNet152_BiGRU  F1-Score-Pha     3  0.880000        ResNet152-BiGRU  ResNet152        BiGRU
28         Evaluation-ResNet152_BiGRU  F1-Score-Pha     4  0.909091        ResNet152-BiGRU  ResNet152        BiGRU
29         Evaluation-ResNet152_BiGRU  F1-Score-Pha     5  0.869565        ResNet152-BiGRU  ResNet152        BiGRU
30         Evaluation-ResNet152_BiGRU   F1-Score-IA     1  0.778761        ResNet152-BiGRU  ResNet152        BiGRU
31         Evaluation-ResNet152_BiGRU   F1-Score-IA     2  0.831683        ResNet152-BiGRU  ResNet152        BiGRU
32         Evaluation-ResNet152_BiGRU   F1-Score-IA     3  0.747253        ResNet152-BiGRU  ResNet152        BiGRU
33         Evaluation-ResNet152_BiGRU   F1-Score-IA     4  0.823529        ResNet152-BiGRU  ResNet152        BiGRU
34         Evaluation-ResNet152_BiGRU   F1-Score-IA     5  0.760000        ResNet152-BiGRU  ResNet152        BiGRU
35         Evaluation-ResNet152_BiGRU   F1-Score-CP     1  0.707965        ResNet152-BiGRU  ResNet152        BiGRU
36         Evaluation-ResNet152_BiGRU   F1-Score-CP     2  0.882353        ResNet152-BiGRU  ResNet152        BiGRU
37         Evaluation-ResNet152_BiGRU   F1-Score-CP     3  0.716667        ResNet152-BiGRU  ResNet152        BiGRU
38         Evaluation-ResNet152_BiGRU   F1-Score-CP     4  0.824561        ResNet152-BiGRU  ResNet152        BiGRU
39         Evaluation-ResNet152_BiGRU   F1-Score-CP     5  0.864407        ResNet152-BiGRU  ResNet152        BiGRU
40         Evaluation-ResNet152_BiGRU   F1-Score-LI     1  0.862385        ResNet152-BiGRU  ResNet152        BiGRU
41         Evaluation-ResNet152_BiGRU   F1-Score-LI     2  0.971963        ResNet152-BiGRU  ResNet152        BiGRU
42         Evaluation-ResNet152_BiGRU   F1-Score-LI     3  0.643678        ResNet152-BiGRU  ResNet152        BiGRU
43         Evaluation-ResNet152_BiGRU   F1-Score-LI     4  0.826923        ResNet152-BiGRU  ResNet152        BiGRU
44         Evaluation-ResNet152_BiGRU   F1-Score-LI     5  0.912281        ResNet152-BiGRU  ResNet152        BiGRU
45         Evaluation-ResNet152_BiGRU   F1-Score-LP     1  0.586957        ResNet152-BiGRU  ResNet152        BiGRU
46         Evaluation-ResNet152_BiGRU   F1-Score-LP     2  0.787234        ResNet152-BiGRU  ResNet152        BiGRU
47         Evaluation-ResNet152_BiGRU   F1-Score-LP     3  0.627451        ResNet152-BiGRU  ResNet152        BiGRU
48         Evaluation-ResNet152_BiGRU   F1-Score-LP     4  0.761905        ResNet152-BiGRU  ResNet152        BiGRU
49         Evaluation-ResNet152_BiGRU   F1-Score-LP     5  0.750000        ResNet152-BiGRU  ResNet152        BiGRU
50         Evaluation-ResNet152_BiGRU  F1-Score-ACF     1  0.584615        ResNet152-BiGRU  ResNet152        BiGRU
51         Evaluation-ResNet152_BiGRU  F1-Score-ACF     2  0.773585        ResNet152-BiGRU  ResNet152        BiGRU
52         Evaluation-ResNet152_BiGRU  F1-Score-ACF     3  0.539130        ResNet152-BiGRU  ResNet152        BiGRU
53         Evaluation-ResNet152_BiGRU  F1-Score-ACF     4  0.768000        ResNet152-BiGRU  ResNet152        BiGRU
54         Evaluation-ResNet152_BiGRU  F1-Score-ACF     5  0.680000        ResNet152-BiGRU  ResNet152        BiGRU
55         Evaluation-ResNet152_BiGRU   F1-Score-VS     1  0.807339        ResNet152-BiGRU  ResNet152        BiGRU
56         Evaluation-ResNet152_BiGRU   F1-Score-VS     2  0.830189        ResNet152-BiGRU  ResNet152        BiGRU
57         Evaluation-ResNet152_BiGRU   F1-Score-VS     3  0.779661        ResNet152-BiGRU  ResNet152        BiGRU
58         Evaluation-ResNet152_BiGRU   F1-Score-VS     4  0.882883        ResNet152-BiGRU  ResNet152        BiGRU
59         Evaluation-ResNet152_BiGRU   F1-Score-VS     5  0.869565        ResNet152-BiGRU  ResNet152        BiGRU
60         Evaluation-ResNet152_BiGRU   F1-Score-TA     1  0.656489        ResNet152-BiGRU  ResNet152        BiGRU
61         Evaluation-ResNet152_BiGRU   F1-Score-TA     2  0.750000        ResNet152-BiGRU  ResNet152        BiGRU
62         Evaluation-ResNet152_BiGRU   F1-Score-TA     3  0.736842        ResNet152-BiGRU  ResNet152        BiGRU
63         Evaluation-ResNet152_BiGRU   F1-Score-TA     4  0.807692        ResNet152-BiGRU  ResNet152        BiGRU
