                                Experiment   Metric  File     Value                       Model             CNN          RNN
0             Evaluation-DenseNet121_BiGRU  ROC-AUC     1  0.979931           DenseNet121-BiGRU     DenseNet121        BiGRU
1             Evaluation-DenseNet121_BiGRU  ROC-AUC     2  0.973996           DenseNet121-BiGRU     DenseNet121        BiGRU
2             Evaluation-DenseNet121_BiGRU  ROC-AUC     3  0.977415           DenseNet121-BiGRU     DenseNet121        BiGRU
3             Evaluation-DenseNet121_BiGRU  ROC-AUC     4  0.980985           DenseNet121-BiGRU     DenseNet121        BiGRU
4             Evaluation-DenseNet121_BiGRU  ROC-AUC     5  0.970445           DenseNet121-BiGRU     DenseNet121        BiGRU
5            Evaluation-DenseNet121_BiLSTM  ROC-AUC     1  0.985213          DenseNet121-BiLSTM     DenseNet121       BiLSTM
6            Evaluation-DenseNet121_BiLSTM  ROC-AUC     2  0.979672          DenseNet121-BiLSTM     DenseNet121       BiLSTM
7            Evaluation-DenseNet121_BiLSTM  ROC-AUC     3  0.971128          DenseNet121-BiLSTM     DenseNet121       BiLSTM
8            Evaluation-DenseNet121_BiLSTM  ROC-AUC     4  0.976764          DenseNet121-BiLSTM     DenseNet121       BiLSTM
9            Evaluation-DenseNet121_BiLSTM  ROC-AUC     5  0.986157          DenseNet121-BiLSTM     DenseNet121       BiLSTM
10              Evaluation-DenseNet121_GRU  ROC-AUC     1  0.984516             DenseNet121-GRU     DenseNet121          GRU
11              Evaluation-DenseNet121_GRU  ROC-AUC     2  0.978533             DenseNet121-GRU     DenseNet121          GRU
12              Evaluation-DenseNet121_GRU  ROC-AUC     3  0.977886             DenseNet121-GRU     DenseNet121          GRU
13              Evaluation-DenseNet121_GRU  ROC-AUC     4  0.972354             DenseNet121-GRU     DenseNet121          GRU
14              Evaluation-DenseNet121_GRU  ROC-AUC     5  0.978206             DenseNet121-GRU     DenseNet121          GRU
15             Evaluation-DenseNet121_LSTM  ROC-AUC     1  0.978515            DenseNet121-LSTM     DenseNet121         LSTM
16             Evaluation-DenseNet121_LSTM  ROC-AUC     2  0.972218            DenseNet121-LSTM     DenseNet121         LSTM
17             Evaluation-DenseNet121_LSTM  ROC-AUC     3  0.974706            DenseNet121-LSTM     DenseNet121         LSTM
18             Evaluation-DenseNet121_LSTM  ROC-AUC     4  0.969602            DenseNet121-LSTM     DenseNet121         LSTM
19             Evaluation-DenseNet121_LSTM  ROC-AUC     5  0.982760            DenseNet121-LSTM     DenseNet121         LSTM
20       Evaluation-DenseNet121_Mamba-best  ROC-AUC     1  0.975996      DenseNet121-Mamba-best     DenseNet121        Mamba
21       Evaluation-DenseNet121_Mamba-best  ROC-AUC     2  0.978941      DenseNet121-Mamba-best     DenseNet121        Mamba
22       Evaluation-DenseNet121_Mamba-best  ROC-AUC     3  0.968365      DenseNet121-Mamba-best     DenseNet121        Mamba
23       Evaluation-DenseNet121_Mamba-best  ROC-AUC     4  0.964141      DenseNet121-Mamba-best     DenseNet121        Mamba
24       Evaluation-DenseNet121_Mamba-best  ROC-AUC     5  0.972339      DenseNet121-Mamba-best     DenseNet121        Mamba
25      Evaluation-DenseNet121_Transformer  ROC-AUC     1  0.980829     DenseNet121-Transformer     DenseNet121  Transformer
26      Evaluation-DenseNet121_Transformer  ROC-AUC     2  0.980354     DenseNet121-Transformer     DenseNet121  Transformer
27      Evaluation-DenseNet121_Transformer  ROC-AUC     3  0.969883     DenseNet121-Transformer     DenseNet121  Transformer
28      Evaluation-DenseNet121_Transformer  ROC-AUC     4  0.970814     DenseNet121-Transformer     DenseNet121  Transformer
29      Evaluation-DenseNet121_Transformer  ROC-AUC     5  0.979040     DenseNet121-Transformer     DenseNet121  Transformer
30            Evaluation-DenseNet201_BiGRU  ROC-AUC     1  0.978521           DenseNet201-BiGRU     DenseNet201        BiGRU
31            Evaluation-DenseNet201_BiGRU  ROC-AUC     2  0.980372           DenseNet201-BiGRU     DenseNet201        BiGRU
32            Evaluation-DenseNet201_BiGRU  ROC-AUC     3  0.968230           DenseNet201-BiGRU     DenseNet201        BiGRU
33            Evaluation-DenseNet201_BiGRU  ROC-AUC     4  0.972153           DenseNet201-BiGRU     DenseNet201        BiGRU
34            Evaluation-DenseNet201_BiGRU  ROC-AUC     5  0.974897           DenseNet201-BiGRU     DenseNet201        BiGRU
35           Evaluation-DenseNet201_BiLSTM  ROC-AUC     1  0.983995          DenseNet201-BiLSTM     DenseNet201       BiLSTM
36           Evaluation-DenseNet201_BiLSTM  ROC-AUC     2  0.980133          DenseNet201-BiLSTM     DenseNet201       BiLSTM
37           Evaluation-DenseNet201_BiLSTM  ROC-AUC     3  0.976020          DenseNet201-BiLSTM     DenseNet201       BiLSTM
38           Evaluation-DenseNet201_BiLSTM  ROC-AUC     4  0.974134          DenseNet201-BiLSTM     DenseNet201       BiLSTM
39           Evaluation-DenseNet201_BiLSTM  ROC-AUC     5  0.982227          DenseNet201-BiLSTM     DenseNet201       BiLSTM
40              Evaluation-DenseNet201_GRU  ROC-AUC     1  0.983099             DenseNet201-GRU     DenseNet201          GRU
41              Evaluation-DenseNet201_GRU  ROC-AUC     2  0.971563             DenseNet201-GRU     DenseNet201          GRU
42              Evaluation-DenseNet201_GRU  ROC-AUC     3  0.971463             DenseNet201-GRU     DenseNet201          GRU
43              Evaluation-DenseNet201_GRU  ROC-AUC     4  0.973973             DenseNet201-GRU     DenseNet201          GRU
44              Evaluation-DenseNet201_GRU  ROC-AUC     5  0.976567             DenseNet201-GRU     DenseNet201          GRU
45             Evaluation-DenseNet201_LSTM  ROC-AUC     1  0.979749            DenseNet201-LSTM     DenseNet201         LSTM
46             Evaluation-DenseNet201_LSTM  ROC-AUC     2  0.978508            DenseNet201-LSTM     DenseNet201         LSTM
47             Evaluation-DenseNet201_LSTM  ROC-AUC     3  0.974448            DenseNet201-LSTM     DenseNet201         LSTM
48             Evaluation-DenseNet201_LSTM  ROC-AUC     4  0.965010            DenseNet201-LSTM     DenseNet201         LSTM
49             Evaluation-DenseNet201_LSTM  ROC-AUC     5  0.974069            DenseNet201-LSTM     DenseNet201         LSTM
50       Evaluation-DenseNet201_Mamba-best  ROC-AUC     1  0.978623      DenseNet201-Mamba-best     DenseNet201        Mamba
51       Evaluation-DenseNet201_Mamba-best  ROC-AUC     2  0.975598      DenseNet201-Mamba-best     DenseNet201        Mamba
52       Evaluation-DenseNet201_Mamba-best  ROC-AUC     3  0.965536      DenseNet201-Mamba-best     DenseNet201        Mamba
53       Evaluation-DenseNet201_Mamba-best  ROC-AUC     4  0.969458      DenseNet201-Mamba-best     DenseNet201        Mamba
54       Evaluation-DenseNet201_Mamba-best  ROC-AUC     5  0.984258      DenseNet201-Mamba-best     DenseNet201        Mamba
55      Evaluation-DenseNet201_Transformer  ROC-AUC     1  0.973509     DenseNet201-Transformer     DenseNet201  Transformer
56      Evaluation-DenseNet201_Transformer  ROC-AUC     2  0.977111     DenseNet201-Transformer     DenseNet201  Transformer
57      Evaluation-DenseNet201_Transformer  ROC-AUC     3  0.967158     DenseNet201-Transformer     DenseNet201  Transformer
58      Evaluation-DenseNet201_Transformer  ROC-AUC     4  0.970657     DenseNet201-Transformer     DenseNet201  Transformer
59      Evaluation-DenseNet201_Transformer  ROC-AUC     5  0.979234     DenseNet201-Transformer     DenseNet201  Transformer
60         Evaluation-EfficientNetB0_BiGRU  ROC-AUC     1  0.964915        EfficientNetB0-BiGRU  EfficientNetB0        BiGRU
61         Evaluation-EfficientNetB0_BiGRU  ROC-AUC     2  0.961433        EfficientNetB0-BiGRU  EfficientNetB0        BiGRU
62         Evaluation-EfficientNetB0_BiGRU  ROC-AUC     3  0.959476        EfficientNetB0-BiGRU  EfficientNetB0        BiGRU
63         Evaluation-EfficientNetB0_BiGRU  ROC-AUC     4  0.961411        EfficientNetB0-BiGRU  EfficientNetB0        BiGRU
64         Evaluation-EfficientNetB0_BiGRU  ROC-AUC     5  0.962646        EfficientNetB0-BiGRU  EfficientNetB0        BiGRU
65        Evaluation-EfficientNetB0_BiLSTM  ROC-AUC     1  0.970414       EfficientNetB0-BiLSTM  EfficientNetB0       BiLSTM
66        Evaluation-EfficientNetB0_BiLSTM  ROC-AUC     2  0.960950       EfficientNetB0-BiLSTM  EfficientNetB0       BiLSTM
67        Evaluation-EfficientNetB0_BiLSTM  ROC-AUC     3  0.957450       EfficientNetB0-BiLSTM  EfficientNetB0       BiLSTM
68        Evaluation-EfficientNetB0_BiLSTM  ROC-AUC     4  0.955247       EfficientNetB0-BiLSTM  EfficientNetB0       BiLSTM
69        Evaluation-EfficientNetB0_BiLSTM  ROC-AUC     5  0.961894       EfficientNetB0-BiLSTM  EfficientNetB0       BiLSTM
70           Evaluation-EfficientNetB0_GRU  ROC-AUC     1  0.960811          EfficientNetB0-GRU  EfficientNetB0          GRU
71           Evaluation-EfficientNetB0_GRU  ROC-AUC     2  0.955712          EfficientNetB0-GRU  EfficientNetB0          GRU
72           Evaluation-EfficientNetB0_GRU  ROC-AUC     3  0.957364          EfficientNetB0-GRU  EfficientNetB0          GRU
73           Evaluation-EfficientNetB0_GRU  ROC-AUC     4  0.964439          EfficientNetB0-GRU  EfficientNetB0          GRU
74           Evaluation-EfficientNetB0_GRU  ROC-AUC     5  0.961857          EfficientNetB0-GRU  EfficientNetB0          GRU
75          Evaluation-EfficientNetB0_LSTM  ROC-AUC     1  0.964053         EfficientNetB0-LSTM  EfficientNetB0         LSTM
76          Evaluation-EfficientNetB0_LSTM  ROC-AUC     2  0.945950         EfficientNetB0-LSTM  EfficientNetB0         LSTM
77          Evaluation-EfficientNetB0_LSTM  ROC-AUC     3  0.949194         EfficientNetB0-LSTM  EfficientNetB0         LSTM
78          Evaluation-EfficientNetB0_LSTM  ROC-AUC     4  0.963333         EfficientNetB0-LSTM  EfficientNetB0         LSTM
79          Evaluation-EfficientNetB0_LSTM  ROC-AUC     5  0.956183         EfficientNetB0-LSTM  EfficientNetB0         LSTM
80    Evaluation-EfficientNetB0_Mamba-best  ROC-AUC     1  0.971589   EfficientNetB0-Mamba-best  EfficientNetB0        Mamba
81    Evaluation-EfficientNetB0_Mamba-best  ROC-AUC     2  0.964231   EfficientNetB0-Mamba-best  EfficientNetB0        Mamba
