                          Experiment    Metric  File     Value                  Model        CNN          RNN
0         Evaluation-ResNet152_BiGRU  Accuracy     1  0.933508        ResNet152-BiGRU  ResNet152        BiGRU
1         Evaluation-ResNet152_BiGRU  Accuracy     2  0.930744        ResNet152-BiGRU  ResNet152        BiGRU
2         Evaluation-ResNet152_BiGRU  Accuracy     3  0.942075        ResNet152-BiGRU  ResNet152        BiGRU
3         Evaluation-ResNet152_BiGRU  Accuracy     4  0.936744        ResNet152-BiGRU  ResNet152        BiGRU
4         Evaluation-ResNet152_BiGRU  Accuracy     5  0.933718        ResNet152-BiGRU  ResNet152        BiGRU
5        Evaluation-ResNet152_BiLSTM  Accuracy     1  0.936726       ResNet152-BiLSTM  ResNet152       BiLSTM
6        Evaluation-ResNet152_BiLSTM  Accuracy     2  0.939557       ResNet152-BiLSTM  ResNet152       BiLSTM
7        Evaluation-ResNet152_BiLSTM  Accuracy     3  0.933237       ResNet152-BiLSTM  ResNet152       BiLSTM
8        Evaluation-ResNet152_BiLSTM  Accuracy     4  0.915326       ResNet152-BiLSTM  ResNet152       BiLSTM
9        Evaluation-ResNet152_BiLSTM  Accuracy     5  0.939584       ResNet152-BiLSTM  ResNet152       BiLSTM
10          Evaluation-ResNet152_GRU  Accuracy     1  0.928801          ResNet152-GRU  ResNet152          GRU
11          Evaluation-ResNet152_GRU  Accuracy     2  0.940560          ResNet152-GRU  ResNet152          GRU
12          Evaluation-ResNet152_GRU  Accuracy     3  0.938905          ResNet152-GRU  ResNet152          GRU
13          Evaluation-ResNet152_GRU  Accuracy     4  0.922611          ResNet152-GRU  ResNet152          GRU
14          Evaluation-ResNet152_GRU  Accuracy     5  0.947667          ResNet152-GRU  ResNet152          GRU
15         Evaluation-ResNet152_LSTM  Accuracy     1  0.924859         ResNet152-LSTM  ResNet152         LSTM
16         Evaluation-ResNet152_LSTM  Accuracy     2  0.941145         ResNet152-LSTM  ResNet152         LSTM
17         Evaluation-ResNet152_LSTM  Accuracy     3  0.925985         ResNet152-LSTM  ResNet152         LSTM
18         Evaluation-ResNet152_LSTM  Accuracy     4  0.920939         ResNet152-LSTM  ResNet152         LSTM
19         Evaluation-ResNet152_LSTM  Accuracy     5  0.931547         ResNet152-LSTM  ResNet152         LSTM
20   Evaluation-ResNet152_Mamba-best  Accuracy     1  0.916492   ResNet152-Mamba-best  ResNet152        Mamba
21   Evaluation-ResNet152_Mamba-best  Accuracy     2  0.926441   ResNet152-Mamba-best  ResNet152        Mamba
22   Evaluation-ResNet152_Mamba-best  Accuracy     3  0.925168   ResNet152-Mamba-best  ResNet152        Mamba
23   Evaluation-ResNet152_Mamba-best  Accuracy     4  0.907205   ResNet152-Mamba-best  ResNet152        Mamba
24   Evaluation-ResNet152_Mamba-best  Accuracy     5  0.936536   ResNet152-Mamba-best  ResNet152        Mamba
25  Evaluation-ResNet152_Transformer  Accuracy     1  0.934916  ResNet152-Transformer  ResNet152  Transformer
26  Evaluation-ResNet152_Transformer  Accuracy     2  0.946074  ResNet152-Transformer  ResNet152  Transformer
27  Evaluation-ResNet152_Transformer  Accuracy     3  0.940154  ResNet152-Transformer  ResNet152  Transformer
28  Evaluation-ResNet152_Transformer  Accuracy     4  0.919506  ResNet152-Transformer  ResNet152  Transformer
29  Evaluation-ResNet152_Transformer  Accuracy     5  0.942771  ResNet152-Transformer  ResNet152  Transformer

Metric
Accuracy    0.931983
