>> Evaluation-ResNet152_BiGRU
     CaseId        Metric  File     Value
0      4709  Accuracy-1st     1  0.926157
1      4709  Accuracy-2nd     1  0.061547
2      4709  Accuracy-3rd     1  0.006249
3      4709  Accuracy-4th     1  0.000336
4      4709  Accuracy-5th     1  0.003964
5      4709      Accuracy     1  0.926157
6      4709  F1-Score-Idl     1  0.786667
7      4709  F1-Score-Inc     1  0.651034
8      4709  F1-Score-Vis     1  0.862069
9      4709  F1-Score-Cap     1  0.995192
10     4709  F1-Score-Hyd     1  0.912195
11     4709  F1-Score-Pha     1  0.983654
12     4709   F1-Score-IA     1  0.949701
13     4709   F1-Score-CP     1  0.920590
14     4709   F1-Score-LI     1  0.810563
15     4709   F1-Score-LP     1  0.933544
16     4709  F1-Score-ACF     1  0.992548
17     4709   F1-Score-VS     1  0.936232
18     4709   F1-Score-TA     1  0.970735
19     4709      F1-Score     1  0.900363
20     4709       ROC-AUC     1  0.995621
21     4899  Accuracy-1st     1  0.780281
22     4899  Accuracy-2nd     1  0.139475
23     4899  Accuracy-3rd     1  0.052393
24     4899  Accuracy-4th     1  0.011731
25     4899  Accuracy-5th     1  0.007845
26     4899      Accuracy     1  0.780281
27     4899  F1-Score-Idl     1  0.483398
28     4899  F1-Score-Inc     1  0.452915
29     4899  F1-Score-Vis     1  0.508885
30     4899  F1-Score-Cap     1  0.292921
31     4899  F1-Score-Hyd     1  0.889616
32     4899  F1-Score-Pha     1  0.975639
33     4899   F1-Score-IA     1  0.977035
34     4899   F1-Score-CP     1  0.786286
35     4899   F1-Score-LI     1  0.962162
36     4899   F1-Score-LP     1  0.893443
37     4899  F1-Score-ACF     1  0.220318
38     4899   F1-Score-VS     1  0.993332
39     4899   F1-Score-TA     1  0.625731
40     4899      F1-Score     1  0.697052
41     4899       ROC-AUC     1  0.981325
42     5015  Accuracy-1st     1  0.797409
43     5015  Accuracy-2nd     1  0.157150
44     5015  Accuracy-3rd     1  0.012955
45     5015  Accuracy-4th     1  0.006976
46     5015  Accuracy-5th     1  0.018137
47     5015      Accuracy     1  0.797409
48     5015  F1-Score-Idl     1  0.628332
49     5015  F1-Score-Inc     1  0.845771
50     5015  F1-Score-Vis     1  0.322292
51     5015  F1-Score-Cap     1  0.398936
52     5015  F1-Score-Hyd     1  0.823799
53     5015  F1-Score-Pha     1  0.983248
54     5015   F1-Score-IA     1  0.949868
55     5015   F1-Score-CP     1  0.441899
56     5015   F1-Score-LI     1  0.904523
57     5015   F1-Score-LP     1  0.000000
58     5015  F1-Score-ACF     1  0.826636
59     5015   F1-Score-VS     1  0.975477
60     5015   F1-Score-TA     1  0.720379
61     5015      F1-Score     1  0.678551
62     5015       ROC-AUC     1  0.972722
63     5016  Accuracy-1st     1  0.825702
64     5016  Accuracy-2nd     1  0.115286
65     5016  Accuracy-3rd     1  0.025265
66     5016  Accuracy-4th     1  0.024261
67     5016  Accuracy-5th     1  0.004378
68     5016      Accuracy     1  0.825702
69     5016  F1-Score-Idl     1  0.845726
70     5016  F1-Score-Inc     1  0.755869
71     5016  F1-Score-Vis     1  0.620313
72     5016  F1-Score-Cap     1  0.000000
73     5016  F1-Score-Hyd     1  0.790501
