                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
0             Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     1  0.539788           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
1             Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     2  0.591512           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
2             Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     3  0.566719           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
3             Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     4  0.479720           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
4             Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     5  0.514793           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
5             Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     1  0.202918           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
6             Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     2  0.181698           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
7             Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     3  0.213501           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
8             Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     4  0.230769           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
9             Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     5  0.213018           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
10            Evaluation-ResNet152_LSTM-finetuned  Accuracy-3rd     1  0.090186           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
11            Evaluation-ResNet152_LSTM-finetuned  Accuracy-3rd     2  0.096817           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
12            Evaluation-ResNet152_LSTM-finetuned  Accuracy-3rd     3  0.097331           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
13            Evaluation-ResNet152_LSTM-finetuned  Accuracy-3rd     4  0.103497           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
14            Evaluation-ResNet152_LSTM-finetuned  Accuracy-3rd     5  0.107988           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
15            Evaluation-ResNet152_LSTM-finetuned  Accuracy-4th     1  0.076923           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
16            Evaluation-ResNet152_LSTM-finetuned  Accuracy-4th     2  0.050398           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
17            Evaluation-ResNet152_LSTM-finetuned  Accuracy-4th     3  0.042386           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
18            Evaluation-ResNet152_LSTM-finetuned  Accuracy-4th     4  0.061538           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
19            Evaluation-ResNet152_LSTM-finetuned  Accuracy-4th     5  0.063609           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
20            Evaluation-ResNet152_LSTM-finetuned  Accuracy-5th     1  0.030504           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
21            Evaluation-ResNet152_LSTM-finetuned  Accuracy-5th     2  0.029178           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
22            Evaluation-ResNet152_LSTM-finetuned  Accuracy-5th     3  0.029827           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
23            Evaluation-ResNet152_LSTM-finetuned  Accuracy-5th     4  0.040559           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
24            Evaluation-ResNet152_LSTM-finetuned  Accuracy-5th     5  0.039941           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
25            Evaluation-ResNet152_LSTM-finetuned      Accuracy     1  0.539788           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
26            Evaluation-ResNet152_LSTM-finetuned      Accuracy     2  0.591512           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
27            Evaluation-ResNet152_LSTM-finetuned      Accuracy     3  0.566719           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
28            Evaluation-ResNet152_LSTM-finetuned      Accuracy     4  0.479720           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
29            Evaluation-ResNet152_LSTM-finetuned      Accuracy     5  0.514793           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
30          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-1st     1  0.383289         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
31          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-1st     2  0.311671         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
32          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-1st     3  0.295133         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
33          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-1st     4  0.250350         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
34          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-1st     5  0.337278         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
35          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-2nd     1  0.204244         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
36          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-2nd     2  0.208223         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
37          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-2nd     3  0.182104         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
38          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-2nd     4  0.184615         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
39          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-2nd     5  0.186391         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
40          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-3rd     1  0.115385         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
41          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-3rd     2  0.155172         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
42          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-3rd     3  0.172684         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
43          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-3rd     4  0.134266         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
44          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-3rd     5  0.147929         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
45          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-4th     1  0.091512         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
46          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-4th     2  0.078249         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
47          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-4th     3  0.100471         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
48          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-4th     4  0.138462         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
49          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-4th     5  0.096154         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
50          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-5th     1  0.058355         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
51          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-5th     2  0.068966         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
52          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-5th     3  0.078493         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
53          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-5th     4  0.078322         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
54          Evaluation-ResNet152_LSTM10-finetuned  Accuracy-5th     5  0.082840         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
55          Evaluation-ResNet152_LSTM10-finetuned      Accuracy     1  0.383289         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
56          Evaluation-ResNet152_LSTM10-finetuned      Accuracy     2  0.311671         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
57          Evaluation-ResNet152_LSTM10-finetuned      Accuracy     3  0.295133         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
58          Evaluation-ResNet152_LSTM10-finetuned      Accuracy     4  0.250350         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
59          Evaluation-ResNet152_LSTM10-finetuned      Accuracy     5  0.337278         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
60           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-1st     1  0.454907          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
61           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-1st     2  0.531830          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
62           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-1st     3  0.458399          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
63           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-1st     4  0.413986          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
64           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-1st     5  0.402367          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
65           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-2nd     1  0.218833          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
66           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-2nd     2  0.183024          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
67           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-2nd     3  0.238619          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
68           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-2nd     4  0.193007          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
