                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
0             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Idl     1  0.500000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
1             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Idl     2  0.544000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
2             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Idl     3  0.475248           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
3             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Idl     4  0.400000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
4             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Idl     5  0.425000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
5             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Inc     1  0.598291           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
6             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Inc     2  0.645161           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
7             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Inc     3  0.511111           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
8             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Inc     4  0.466019           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
9             Evaluation-ResNet152_LSTM-finetuned  F1-Score-Inc     5  0.714286           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
10            Evaluation-ResNet152_LSTM-finetuned  F1-Score-Vis     1  0.316832           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
11            Evaluation-ResNet152_LSTM-finetuned  F1-Score-Vis     2  0.436364           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
12            Evaluation-ResNet152_LSTM-finetuned  F1-Score-Vis     3  0.476190           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
