                                      Experiment   Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
0            Evaluation-ResNet152_LSTM-finetuned  ROC-AUC     1  0.915767           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
1            Evaluation-ResNet152_LSTM-finetuned  ROC-AUC     2  0.941565           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
2            Evaluation-ResNet152_LSTM-finetuned  ROC-AUC     3  0.935767           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
3            Evaluation-ResNet152_LSTM-finetuned  ROC-AUC     4  0.898866           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
4            Evaluation-ResNet152_LSTM-finetuned  ROC-AUC     5  0.920111           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
5          Evaluation-ResNet152_LSTM10-finetuned  ROC-AUC     1  0.853086         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
6          Evaluation-ResNet152_LSTM10-finetuned  ROC-AUC     2  0.839858         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
7          Evaluation-ResNet152_LSTM10-finetuned  ROC-AUC     3  0.816097         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
8          Evaluation-ResNet152_LSTM10-finetuned  ROC-AUC     4  0.816050         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
9          Evaluation-ResNet152_LSTM10-finetuned  ROC-AUC     5  0.837190         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
10          Evaluation-ResNet152_LSTM5-finetuned  ROC-AUC     1  0.888476          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
11          Evaluation-ResNet152_LSTM5-finetuned  ROC-AUC     2  0.913755          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
12          Evaluation-ResNet152_LSTM5-finetuned  ROC-AUC     3  0.897922          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
13          Evaluation-ResNet152_LSTM5-finetuned  ROC-AUC     4  0.858735          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
14          Evaluation-ResNet152_LSTM5-finetuned  ROC-AUC     5  0.869495          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
15          Evaluation-ResNet152_Mamba-finetuned  ROC-AUC     1  0.862606          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
16          Evaluation-ResNet152_Mamba-finetuned  ROC-AUC     2  0.926335          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
17          Evaluation-ResNet152_Mamba-finetuned  ROC-AUC     3  0.922474          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
