                                    Experiment        Metric  File     Value                            Model        CNN          RNN
0         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-1st     1  0.655952        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
1         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-1st     2  0.740476        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
2         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-1st     3  0.653571        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
3         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-1st     4  0.730952        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
4         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-1st     5  0.678571        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
5         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-2nd     1  0.290476        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
6         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-2nd     2  0.175000        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
7         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-2nd     3  0.275000        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
8         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-2nd     4  0.194048        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
9         Evaluation-ResNet152_BiGRU-finetuned  Accuracy-2nd     5  0.221429        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
10        Evaluation-ResNet152_BiGRU-finetuned      Accuracy     1  0.655952        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
11        Evaluation-ResNet152_BiGRU-finetuned      Accuracy     2  0.740476        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
12        Evaluation-ResNet152_BiGRU-finetuned      Accuracy     3  0.653571        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
13        Evaluation-ResNet152_BiGRU-finetuned      Accuracy     4  0.730952        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
14        Evaluation-ResNet152_BiGRU-finetuned      Accuracy     5  0.678571        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
15       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-1st     1  0.655952       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
16       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-1st     2  0.682143       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
17       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-1st     3  0.620238       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
18       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-1st     4  0.680952       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
19       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-1st     5  0.758333       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
20       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-2nd     1  0.265476       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
21       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-2nd     2  0.223810       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
22       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-2nd     3  0.261905       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
23       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-2nd     4  0.180952       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
24       Evaluation-ResNet152_BiLSTM-finetuned  Accuracy-2nd     5  0.192857       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
25       Evaluation-ResNet152_BiLSTM-finetuned      Accuracy     1  0.655952       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
26       Evaluation-ResNet152_BiLSTM-finetuned      Accuracy     2  0.682143       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
27       Evaluation-ResNet152_BiLSTM-finetuned      Accuracy     3  0.620238       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
28       Evaluation-ResNet152_BiLSTM-finetuned      Accuracy     4  0.680952       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
29       Evaluation-ResNet152_BiLSTM-finetuned      Accuracy     5  0.758333       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
30          Evaluation-ResNet152_GRU-finetuned  Accuracy-1st     1  0.708333          ResNet152-GRU-finetuned  ResNet152          GRU
31          Evaluation-ResNet152_GRU-finetuned  Accuracy-1st     2  0.720238          ResNet152-GRU-finetuned  ResNet152          GRU
32          Evaluation-ResNet152_GRU-finetuned  Accuracy-1st     3  0.697619          ResNet152-GRU-finetuned  ResNet152          GRU
