                                     Experiment       Metric  File     Value                            Model        CNN          RNN
0          Evaluation-ResNet152_BiGRU-finetuned   F1-Score-N     1  0.732943        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
1          Evaluation-ResNet152_BiGRU-finetuned   F1-Score-N     2  0.808156        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
2          Evaluation-ResNet152_BiGRU-finetuned   F1-Score-N     3  0.742138        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
3          Evaluation-ResNet152_BiGRU-finetuned   F1-Score-N     4  0.804805        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
4          Evaluation-ResNet152_BiGRU-finetuned   F1-Score-N     5  0.801970        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
5          Evaluation-ResNet152_BiGRU-finetuned  F1-Score-PC     1  0.615114        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
6          Evaluation-ResNet152_BiGRU-finetuned  F1-Score-PC     2  0.682569        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
7          Evaluation-ResNet152_BiGRU-finetuned  F1-Score-PC     3  0.647841        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
8          Evaluation-ResNet152_BiGRU-finetuned  F1-Score-PC     4  0.690789        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
9          Evaluation-ResNet152_BiGRU-finetuned  F1-Score-PC     5  0.616667        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
10         Evaluation-ResNet152_BiGRU-finetuned  F1-Score-LR     1  0.000000        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
11         Evaluation-ResNet152_BiGRU-finetuned  F1-Score-LR     2  0.000000        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
12         Evaluation-ResNet152_BiGRU-finetuned  F1-Score-LR     3  0.000000        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
13         Evaluation-ResNet152_BiGRU-finetuned  F1-Score-LR     4  0.054795        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
14         Evaluation-ResNet152_BiGRU-finetuned  F1-Score-LR     5  0.162162        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
15         Evaluation-ResNet152_BiGRU-finetuned     F1-Score     1  0.449353        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
16         Evaluation-ResNet152_BiGRU-finetuned     F1-Score     2  0.496908        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
17         Evaluation-ResNet152_BiGRU-finetuned     F1-Score     3  0.463326        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
18         Evaluation-ResNet152_BiGRU-finetuned     F1-Score     4  0.516796        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
19         Evaluation-ResNet152_BiGRU-finetuned     F1-Score     5  0.526933        ResNet152-BiGRU-finetuned  ResNet152        BiGRU
20        Evaluation-ResNet152_BiLSTM-finetuned   F1-Score-N     1  0.731373       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
21        Evaluation-ResNet152_BiLSTM-finetuned   F1-Score-N     2  0.743616       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
22        Evaluation-ResNet152_BiLSTM-finetuned   F1-Score-N     3  0.740000       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
23        Evaluation-ResNet152_BiLSTM-finetuned   F1-Score-N     4  0.766431       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
24        Evaluation-ResNet152_BiLSTM-finetuned   F1-Score-N     5  0.845624       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
25        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-PC     1  0.610603       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
26        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-PC     2  0.715302       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
27        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-PC     3  0.607646       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
28        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-PC     4  0.684492       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
29        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-PC     5  0.724584       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
30        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-LR     1  0.194690       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
31        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-LR     2  0.115108       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
32        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-LR     3  0.000000       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
33        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-LR     4  0.015385       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
34        Evaluation-ResNet152_BiLSTM-finetuned  F1-Score-LR     5  0.180328       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
35        Evaluation-ResNet152_BiLSTM-finetuned     F1-Score     1  0.512222       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
36        Evaluation-ResNet152_BiLSTM-finetuned     F1-Score     2  0.524675       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
37        Evaluation-ResNet152_BiLSTM-finetuned     F1-Score     3  0.449215       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
38        Evaluation-ResNet152_BiLSTM-finetuned     F1-Score     4  0.488769       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
39        Evaluation-ResNet152_BiLSTM-finetuned     F1-Score     5  0.583512       ResNet152-BiLSTM-finetuned  ResNet152       BiLSTM
40           Evaluation-ResNet152_GRU-finetuned   F1-Score-N     1  0.764344          ResNet152-GRU-finetuned  ResNet152          GRU
41           Evaluation-ResNet152_GRU-finetuned   F1-Score-N     2  0.814229          ResNet152-GRU-finetuned  ResNet152          GRU
42           Evaluation-ResNet152_GRU-finetuned   F1-Score-N     3  0.785100          ResNet152-GRU-finetuned  ResNet152          GRU
43           Evaluation-ResNet152_GRU-finetuned   F1-Score-N     4  0.719512          ResNet152-GRU-finetuned  ResNet152          GRU
44           Evaluation-ResNet152_GRU-finetuned   F1-Score-N     5  0.745968          ResNet152-GRU-finetuned  ResNet152          GRU
45           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     1  0.705882          ResNet152-GRU-finetuned  ResNet152          GRU
46           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     2  0.721495          ResNet152-GRU-finetuned  ResNet152          GRU
47           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     3  0.648148          ResNet152-GRU-finetuned  ResNet152          GRU
