          Accuracy  Accuracy~                 Accuracy*  F1-Score  F1-Score~                 F1-Score*   ROC-AUC  ROC-AUC~                  ROC-AUC*
3-FREQ    0.278968   0.005977  0.28/0.29/0.27/0.27/0.28  0.033554   0.000561  0.03/0.03/0.03/0.03/0.03  0.500000  0.000000  0.50/0.50/0.50/0.50/0.50
3-RAND    0.077000   0.000136  0.08/0.08/0.08/0.08/0.08  0.065851   0.000166  0.07/0.07/0.07/0.07/0.07  0.500070  0.000056  0.50/0.50/0.50/0.50/0.50
3-DIST    0.140692   0.001684  0.14/0.14/0.14/0.14/0.14  0.076882   0.000074  0.08/0.08/0.08/0.08/0.08  0.499981  0.000040  0.50/0.50/0.50/0.50/0.50
15-FREQ   0.287888   0.005976  0.29/0.30/0.28/0.28/0.29  0.034387   0.000553  0.03/0.04/0.03/0.03/0.03  0.500000  0.000000  0.50/0.50/0.50/0.50/0.50
15-RAND   0.076893   0.000033  0.08/0.08/0.08/0.08/0.08  0.065160   0.000171  0.07/0.07/0.07/0.07/0.06  0.499971  0.000024  0.50/0.50/0.50/0.50/0.50
15-DIST   0.144316   0.001943  0.14/0.15/0.14/0.14/0.15  0.076891   0.000066  0.08/0.08/0.08/0.08/0.08  0.499983  0.000036  0.50/0.50/0.50/0.50/0.50
60-FREQ   0.326912   0.005909  0.32/0.34/0.32/0.32/0.33  0.037901   0.000515  0.04/0.04/0.04/0.04/0.04  0.500000  0.000000  0.50/0.50/0.50/0.50/0.50
60-RAND   0.076930   0.000026  0.08/0.08/0.08/0.08/0.08  0.062266   0.000234  0.06/0.06/0.06/0.06/0.06  0.500012  0.000007  0.50/0.50/0.50/0.50/0.50
60-DIST   0.165481   0.002624  0.16/0.17/0.16/0.16/0.17  0.076919   0.000017  0.08/0.08/0.08/0.08/0.08  0.499998  0.000009  0.50/0.50/0.50/0.50/0.50
180-FREQ  0.398766   0.007838  0.39/0.41/0.39/0.39/0.41  0.043856   0.000616  0.04/0.04/0.04/0.04/0.04  0.500000  0.000000  0.50/0.50/0.50/0.50/0.50
180-RAND  0.076910   0.000041  0.08/0.08/0.08/0.08/0.08  0.056483   0.000451  0.06/0.06/0.06/0.06/0.06  0.499982  0.000034  0.50/0.50/0.50/0.50/0.50
180-DIST  0.218093   0.004908  0.22/0.22/0.21/0.21/0.23  0.076929   0.000021  0.08/0.08/0.08/0.08/0.08  0.500004  0.000011  0.50/0.50/0.50/0.50/0.50
360-FREQ  0.419801   0.022351  0.45/0.44/0.40/0.40/0.41  0.045462   0.001696  0.05/0.05/0.04/0.04/0.04  0.500000  0.000000  0.50/0.50/0.50/0.50/0.50
360-RAND  0.076901   0.000027  0.08/0.08/0.08/0.08/0.08  0.056483   0.001977  0.05/0.06/0.06/0.06/0.06  0.499981  0.000018  0.50/0.50/0.50/0.50/0.50
360-DIST  0.227515   0.018411  0.25/0.24/0.20/0.22/0.22  0.076919   0.000010  0.08/0.08/0.08/0.08/0.08  0.499998  0.000005  0.50/0.50/0.50/0.50/0.50
