                                           Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
0          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-1st     1  0.630077        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
1          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-1st     2  0.673510        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
2          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-1st     3  0.644416        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
3          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-1st     4  0.619113        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
4          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-1st     5  0.589251        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
5          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-2nd     1  0.181664        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
6          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-2nd     2  0.144583        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
7          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-2nd     3  0.162367        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
8          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-2nd     4  0.181290        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
9          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-2nd     5  0.202176        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
10         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-3rd     1  0.084747        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
11         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-3rd     2  0.069336        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
12         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-3rd     3  0.089437        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
13         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-3rd     4  0.084059        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
14         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-3rd     5  0.088378        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
15         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-4th     1  0.044232        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
16         Evaluation-ResNet152_BiGRU-finetuned-clip2       3  Accuracy-4th     2  0.039917        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
