                                            Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
0           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Idl     1  0.544189        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
1           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Idl     2  0.623275        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
2           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Idl     3  0.527677        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
3           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Idl     4  0.604823        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
4           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Idl     5  0.417526        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
5           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Inc     1  0.490099        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
6           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Inc     2  0.364827        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
7           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Inc     3  0.386412        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
8           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Inc     4  0.513721        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
9           Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Inc     5  0.362416        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
10          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Vis     1  0.321080        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
11          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Vis     2  0.349693        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
12          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Vis     3  0.381288        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
13          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Vis     4  0.300859        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
14          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Vis     5  0.300706        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
15          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Cap     1  0.695259        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
16          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Cap     2  0.674394        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
17          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Cap     3  0.616103        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
18          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Cap     4  0.599914        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
19          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Cap     5  0.705590        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
20          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Hyd     1  0.493394        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
21          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Hyd     2  0.521433        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
22          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Hyd     3  0.509061        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
23          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Hyd     4  0.319690        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
24          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Hyd     5  0.399646        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
25          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Pha     1  0.875838        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
26          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-Pha     2  0.926241        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
