                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
0          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  ROC-AUC     1  0.927511        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
1          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  ROC-AUC     2  0.934035        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
2          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  ROC-AUC     3  0.933914        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
3          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  ROC-AUC     4  0.903707        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
4          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  ROC-AUC     5  0.928301        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
5          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  ROC-AUC     1  0.948463        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
6          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  ROC-AUC     2  0.947840        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
7          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  ROC-AUC     3  0.948380        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
8          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  ROC-AUC     4  0.914572        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
9          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  ROC-AUC     5  0.944986        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
10         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  ROC-AUC     1  0.960648        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
11         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  ROC-AUC     2  0.962156        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
12         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  ROC-AUC     3  0.960348        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
